strategy,thres_schema,thres_item_final,rep,mean_AC,mean_RT,mean_performance
bonus_oriented,45,50,3,0.5535714285714286,58.725571428571705,34.607142857142854
bonus_oriented,45,50,4,0.3392857142857143,63.030428571429184,26.964285714285715
bonus_oriented,45,50,5,0.42857142857142855,55.738750000000024,33.107142857142854
bonus_oriented,45,50,6,0.25,64.16026923076977,26.923076923076923
bonus_oriented,45,50,7,0.4821428571428571,58.6122857142862,34.03571428571429
bonus_oriented,45,50,8,0.3928571428571429,51.444785714285686,29.785714285714285
bonus_oriented,45,50,9,0.42857142857142855,58.71032142857174,30.46428571428571
bonus_oriented,45,50,10,0.4807692307692307,63.7731538461542,33.53846153846154
bonus_oriented,50,40,1,0.43333333333333324,50.26806666666663,33.53333333333333
bonus_oriented,50,40,2,0.28571428571428575,53.04385714285726,24.535714285714285
bonus_oriented,50,40,3,0.55,47.59016666666663,35.56666666666667
bonus_oriented,50,40,4,0.4833333333333333,49.65400000000008,35.1
bonus_oriented,50,40,5,0.35000000000000003,48.04359999999996,28
bonus_oriented,50,40,6,0.7166666666666667,48.0700333333333,46.06666666666666
bonus_oriented,50,40,7,0.41666666666666663,46.75039999999997,28.666666666666664
bonus_oriented,50,40,8,0.21428571428571427,53.39896428571428,24.25
bonus_oriented,50,40,9,0.39285714285714285,58.84321428571479,31.571428571428573
bonus_oriented,50,40,10,0.4666666666666666,47.659299999999966,31.366666666666667
bonus_oriented,50,45,1,0.30357142857142855,52.61903571428574,26.321428571428573
bonus_oriented,50,45,2,0.46428571428571425,56.006714285714644,32.607142857142854
bonus_oriented,50,45,3,0.4821428571428571,58.35085714285717,32.5
bonus_oriented,50,45,4,0.5227272727272727,101.50954545455316,34.68181818181818
bonus_oriented,50,45,5,0.5166666666666667,47.19163333333339,36.96666666666667
bonus_oriented,50,45,6,0.55,53.87723333333343,33.03333333333333
bonus_oriented,50,45,7,0.4821428571428571,57.061142857142876,33.607142857142854
bonus_oriented,50,45,8,0.3928571428571429,52.621214285714245,33.07142857142857
bonus_oriented,50,45,9,0.5666666666666667,49.460833333333355,33.53333333333333
bonus_oriented,50,45,10,0.45,51.29083333333356,33.43333333333333
bonus_oriented,50,50,1,0.3461538461538461,70.83273076923219,30.153846153846153
bonus_oriented,50,50,2,0.23076923076923075,70.28842307692368,22.076923076923077
bonus_oriented,50,50,3,0.2884615384615385,65.89876923077007,27.538461538461537
bonus_oriented,50,50,4,0.375,61.28103571428584,30.178571428571427
bonus_oriented,50,50,5,0.38461538461538464,72.11842307692359,30.038461538461537
bonus_oriented,50,50,6,0.42857142857142855,55.74964285714314,27.607142857142858
bonus_oriented,50,50,7,0.38461538461538464,62.3279230769236,29
bonus_oriented,50,50,8,0.38461538461538464,67.93288461538522,31.846153846153847
bonus_oriented,50,50,9,0.40384615384615385,63.2828076923081,28.53846153846154
bonus_oriented,50,50,10,0.4807692307692307,62.66107692307733,36.03846153846154
payoff_oriented,15,10,1,0.17105263157894737,16.380105263157883,21.605263157894736
payoff_oriented,15,10,2,0.22368421052631576,17.09444736842112,23.605263157894733
payoff_oriented,15,10,3,0.23684210526315785,14.248315789473674,22.184210526315788
