Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,thres_schema,thres_item_final,rep
1,11,21,1,6,9.942999999999993,16,46,12,10,7,9,19.458999999999985,4.330999999999997,11.89499999999999,14.639999999999988,20,9,16,16,75,12,47,55,6,1,72,6,6,Lc,0.2594533333333333,0.3609166666666666,0.2530851063829787,0.26618181818181813,bonus_oriented,40,40,3
1,11,22,1,9,6.953999999999994,15,34,71,70,64,66,12.56599999999999,9.576999999999993,5.123999999999996,6.343999999999995,20,13,15,15,61,33,26,28,4,1,48,4,6,Lc,0.206,0.29021212121212114,0.19707692307692307,0.22657142857142853,bonus_oriented,40,40,3
1,12,23,1,2,8.417999999999994,15,39,54,59,56,26,24.643999999999984,0.6709999999999998,16.591999999999988,5.550999999999996,20,3,18,11,100,3,75,19,4,0.5,29,4.25,6,Lc,0.24643999999999996,0.22366666666666665,0.22122666666666665,0.29215789473684206,bonus_oriented,40,40,3
1,12,24,1,7,16.22599999999999,20,75,21,19,14,93,33.488999999999976,6.953999999999994,23.78999999999998,0.6099999999999999,20,15,18,2,156,29,109,2,6,0.5,39,5.25,6,Lc,0.2146730769230769,0.23979310344827584,0.21825688073394495,0.305,bonus_oriented,40,40,3
1,13,25,1,9,6.587999999999995,12,31,68,5,1,86,37.63699999999997,26.83999999999998,25.07099999999998,0.183,20,19,18,1,153,137,98,1,4,0,19,4.75,6,Lc,0.24599346405228756,0.19591240875912408,0.25582653061224486,0.183,bonus_oriented,40,40,3
1,13,26,1,2,3.4159999999999973,10,17,27,49,50,52,64.59899999999995,1.3419999999999992,0.7929999999999997,0.183,20,9,7,3,275,9,7,3,4,0.5,29,4.25,6,Lc,0.23490545454545453,0.1491111111111111,0.11328571428571428,0.061,bonus_oriented,40,40,3
1,14,27,1,9,7.075999999999994,12,31,67,17,69,16,15.24999999999999,41.60199999999997,2.9279999999999977,10.918999999999992,20,19,13,16,68,168,16,46,4,0,20,5,6,Lc,0.22426470588235292,0.24763095238095234,0.18299999999999997,0.2373695652173913,bonus_oriented,40,40,3
1,14,28,1,4,6.160999999999995,14,27,54,5,100,93,55.509999999999955,31.536999999999974,2.683999999999998,5.550999999999996,20,19,11,14,241,114,12,24,2,0,15,3.75,6,Lc,0.23033195020746886,0.27664035087719296,0.22366666666666665,0.23129166666666667,bonus_oriented,40,40,3
1,1,1,0,5,9.332999999999993,17,45,47,44,41,91,21.227999999999984,0.6099999999999999,11.589999999999991,0.9149999999999996,20,2,16,2,87,2,47,2,5,0.5,33,4.5,6,Lc,0.24399999999999997,0.305,0.24659574468085102,0.4574999999999998,bonus_oriented,40,40,4
1,1,2,0,2,14.090999999999989,19,65,54,103,30,13,43.61499999999997,5.7949999999999955,0.366,7.624999999999994,20,16,1,14,186,30,1,32,4,0,17,4.25,6,Lc,0.23448924731182794,0.19316666666666665,0.366,0.23828124999999997,bonus_oriented,40,40,4
1,2,3,0,9,11.467999999999991,18,62,71,70,72,67,29.21899999999998,8.600999999999994,0.5489999999999999,0.6709999999999998,20,17,1,5,144,32,1,5,4,1,48,4,6,Lc,0.2029097222222222,0.26878124999999997,0.5489999999999999,0.13419999999999999,bonus_oriented,40,40,4
1,2,4,0,5,15.798999999999987,18,86,42,46,49,100,32.75699999999998,2.3179999999999983,2.9889999999999977,4.7579999999999965,20,10,6,12,147,12,7,17,5,0,16,4,6,Lc,0.22283673469387752,0.19316666666666663,0.42699999999999994,0.27988235294117647,bonus_oriented,40,40,4
1,3,5,0,10,7.075999999999994,16,30,108,5,86,42,40.19899999999997,10.918999999999992,0.061,0.5489999999999999,20,17,1,3,165,46,1,3,3,0,16,4,6,Lc,0.243630303030303,0.23736956521739128,0.061,0.183,bonus_oriented,40,40,4
1,3,6,0,3,6.282999999999995,9,25,31,33,28,17,18.116999999999987,8.417999999999994,1.0979999999999994,1.585999999999999,20,18,4,4,87,29,5,4,5,0.5,36,5.25,6,Lc,0.2082413793103448,0.2902758620689655,0.2196,0.39649999999999985,bonus_oriented,40,40,4
1,4,7,0,7,5.550999999999996,14,32,21,17,62,16,25.55899999999998,16.774999999999988,5.001999999999996,16.10399999999999,20,18,14,17,113,69,18,72,6,0.5,40,5.5,6,Lc,0.22618584070796457,0.24311594202898548,0.27788888888888885,0.22366666666666665,bonus_oriented,40,40,4
1,4,8,0,1,8.173999999999994,17,47,77,78,80,81,19.214999999999986,5.916999999999995,2.0739999999999985,2.1959999999999984,20,18,8,9,89,29,11,10,3,1,36,3,6,Lc,0.21589887640449437,0.20403448275862068,0.18854545454545454,0.2196,bonus_oriented,40,40,4
1,5,9,0,1,10.918999999999992,15,45,82,18,13,99,14.334999999999988,18.604999999999986,2.1959999999999984,3.781999999999997,20,17,8,11,58,77,9,21,3,0,17,4.25,6,Lc,0.2471551724137931,0.2416233766233766,0.24399999999999997,0.18009523809523809,bonus_oriented,40,40,4
