Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,14,27,1,7,8.783999999999994,19,72,22,17,20,18,12.01699999999999,11.284999999999991,0.061,1.9519999999999986,20,19,1,11,101,92,1,16,6,1,72,6,6,Lc,0.11898019801980197,0.12266304347826086,0.061,0.12199999999999998,0.5,20,15,30,1,2
1,14,28,1,3,7.014999999999994,19,63,33,32,27,35,9.149999999999993,0.122,8.417999999999994,19.824999999999985,20,2,18,17,76,2,73,166,5,1,60,5,6,Lc,0.12039473684210526,0.061,0.11531506849315068,0.1194277108433735,0.5,20,15,30,1,2
1,15,29,1,2,8.661999999999994,18,81,57,59,52,60,9.698999999999993,3.659999999999997,15.249999999999988,1.4029999999999991,20,16,18,13,86,40,133,14,4,1,48,4,6,Lc,0.11277906976744187,0.0915,0.11466165413533835,0.10021428571428571,0.5,20,15,30,1,2
1,15,30,1,7,5.855999999999995,18,56,14,21,18,16,6.892999999999995,1.7689999999999988,10.491999999999992,10.918999999999992,20,10,18,17,64,16,95,91,6,1,72,6,6,Lc,0.10770312499999998,0.1105625,0.1104421052631579,0.11998901098901098,0.5,20,15,30,1,2
1,16,31,1,9,6.343999999999995,20,60,68,72,61,71,7.502999999999995,3.659999999999997,8.966999999999993,0.6709999999999998,20,16,18,5,69,36,77,5,4,1,48,4,6,Lc,0.1087391304347826,0.10166666666666667,0.11645454545454545,0.13419999999999999,0.5,20,15,30,1,2
1,16,32,1,3,3.3549999999999973,11,30,29,28,31,34,5.123999999999996,0.6099999999999999,2.0129999999999986,2.9279999999999977,20,5,9,15,52,6,14,31,5,1,60,5,6,Lc,0.09853846153846155,0.10166666666666667,0.1437857142857143,0.0944516129032258,0.5,20,15,30,1,2
1,17,33,1,7,3.659999999999997,15,33,21,24,19,20,6.770999999999995,1.8299999999999987,3.720999999999997,0.122,20,8,15,2,53,13,33,2,6,1,72,6,6,Lc,0.12775471698113208,0.14076923076923076,0.11275757575757575,0.061,0.5,20,15,30,1,2
1,17,34,1,5,5.977999999999995,16,53,37,43,44,67,11.406999999999991,0.6709999999999998,0.122,21.227999999999984,20,3,2,17,93,3,2,169,5,0.5,34,4.75,6,Lc,0.12265591397849461,0.22366666666666665,0.061,0.1256094674556213,0.5,20,15,30,1,2
1,18,35,1,10,7.380999999999994,17,71,86,87,91,90,8.295999999999994,2.622999999999998,10.491999999999992,1.4029999999999991,20,12,18,7,81,21,90,9,3,1,36,3,6,Lc,0.10241975308641975,0.12490476190476191,0.11657777777777777,0.15588888888888888,0.5,20,15,30,1,2
1,18,36,1,6,8.905999999999993,18,72,7,6,5,11,13.541999999999991,2.805999999999998,3.659999999999997,0.5489999999999999,20,14,15,5,111,27,28,6,6,1,72,6,6,Lc,0.122,0.10392592592592592,0.1307142857142857,0.0915,0.5,20,15,30,1,2
1,1,1,0,5,6.404999999999995,18,57,37,41,89,39,14.57899999999999,0.6709999999999998,2.1349999999999985,0.7319999999999998,20,6,14,6,126,7,22,7,5,0.5,33,4.5,6,Lc,0.1157063492063492,0.09585714285714285,0.09704545454545455,0.10457142857142857,0.5,20,15,30,1,3
1,1,2,0,7,15.188999999999988,20,134,103,59,100,101,22.386999999999983,8.417999999999994,0.6099999999999999,2.0129999999999986,20,18,5,11,198,69,5,15,6,0.5,16,2.5,6,Lc,0.11306565656565655,0.122,0.122,0.13419999999999999,0.5,20,15,30,1,3
1,2,3,0,1,9.637999999999993,19,85,74,81,82,27,11.406999999999991,1.1589999999999994,8.112999999999994,5.306999999999996,20,7,18,16,98,9,64,37,3,0.5,23,3.5,6,Lc,0.11639795918367346,0.12877777777777777,0.126765625,0.14343243243243242,0.5,20,15,30,1,3
1,2,4,0,6,11.77299999999999,20,106,104,1,6,108,20.983999999999984,3.781999999999997,1.0369999999999995,2.744999999999998,20,16,7,15,175,34,10,23,6,0,16,4,6,Lc,0.11990857142857143,0.11123529411764706,0.1037,0.11934782608695653,0.5,20,15,30,1,3
1,3,5,0,7,10.674999999999992,19,102,14,20,17,56,21.349999999999984,0.6099999999999999,0.305,7.807999999999994,20,5,2,16,178,5,2,66,6,0.5,40,5.5,6,Lc,0.1199438202247191,0.122,0.1525,0.1183030303030303,0.5,20,15,30,1,3
1,3,6,0,3,9.820999999999993,19,81,26,29,105,107,15.12799999999999,10.430999999999992,0.244,0.366,20,19,2,4,125,90,2,4,5,0,14,3.5,6,Lc,0.12102399999999999,0.11589999999999999,0.122,0.0915,0.5,20,15,30,1,3
1,4,7,0,2,9.515999999999993,19,69,56,58,99,54,20.373999999999985,0.8539999999999996,2.3179999999999983,0.366,20,8,13,3,171,9,22,3,4,0.5,26,3.5,6,Lc,0.11914619883040935,0.09488888888888888,0.10536363636363637,0.122,0.5,20,15,30,1,3
1,4,8,0,3,8.539999999999994,17,76,33,36,9,12,15.12799999999999,3.2329999999999974,3.2939999999999974,3.4159999999999973,20,16,16,14,131,26,26,26,5,0,22,5.5,6,Lc,0.11548091603053434,0.12434615384615384,0.1266923076923077,0.13138461538461538,0.5,20,15,30,1,3
1,5,9,0,9,7.9299999999999935,19,73,62,65,45,72,9.271999999999993,6.587999999999995,5.489999999999996,0.5489999999999999,20,19,16,5,83,56,47,5,4,0.5,29,4.25,6,Lc,0.11171084337349396,0.11764285714285715,0.11680851063829786,0.1098,0.5,20,15,30,1,3
1,5,10,0,3,11.162999999999991,19,88,35,32,30,50,15.676999999999989,3.842999999999997,15.432999999999987,0.7929999999999997,20,15,18,9,124,32,124,9,5,0.5,34,4.75,6,Lc,0.1264274193548387,0.12009375,0.12445967741935483,0.08811111111111111,0.5,20,15,30,1,3
1,6,11,1,8,10.735999999999992,19,87,109,115,59,118,13.663999999999989,6.526999999999995,4.452999999999997,2.9889999999999977,20,19,17,13,116,53,37,27,2,0.5,16,2.5,6,Lc,0.11779310344827586,0.1231509433962264,0.12035135135135135,0.11070370370370371,0.5,20,15,30,1,3
