Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,combo_id,thres_schema,thres_item_final,model,risk,run,attempt
1,6,12,1,8,8.173999999999994,17,42,112,120,22,110,40.25999999999997,0.183,0.122,2.439999999999998,20,1,1,10,174,1,1,13,2,0.5,18,3,5,Lc,0.2313793103448276,0.183,0.122,0.18769230769230769,bonus_oriented,1,50,45,original,Lc,3,1
1,7,13,1,5,9.515999999999993,14,41,37,14,13,39,24.15599999999998,1.0369999999999995,2.744999999999998,6.8319999999999945,20,3,9,14,102,3,14,30,5,0,22,5.5,5,Lc,0.23682352941176468,0.34566666666666657,0.19607142857142856,0.22773333333333332,bonus_oriented,1,50,45,original,Lc,3,1
1,7,14,1,3,10.613999999999992,13,44,34,29,36,28,16.774999999999988,15.981999999999987,2.805999999999998,11.345999999999991,20,18,10,14,65,70,16,46,5,1,60,5,5,Lc,0.25807692307692304,0.2283142857142857,0.175375,0.24665217391304345,bonus_oriented,1,50,45,original,Lc,3,1
1,8,15,1,5,12.01699999999999,15,63,46,45,44,42,29.95099999999998,5.306999999999996,6.953999999999994,0.9759999999999995,20,12,16,5,138,21,25,6,5,1,60,5,5,Lc,0.21703623188405796,0.2527142857142857,0.27815999999999996,0.16266666666666665,bonus_oriented,1,50,45,original,Lc,3,1
1,8,16,1,2,4.879999999999996,14,26,106,4,101,84,55.448999999999955,145.05800000000932,0.061,0.183,20,15,1,2,221,623,1,2,4,0,13,3.25,5,Lc,0.25090045248868775,0.23283788121990365,0.061,0.0915,bonus_oriented,1,50,45,original,Lc,3,1
1,9,17,1,8,8.783999999999994,14,38,120,43,75,115,30.80499999999998,34.708999999999975,9.271999999999993,0.8539999999999996,20,17,16,5,112,138,38,5,2,0,12,3,5,Lc,0.2750446428571428,0.25151449275362314,0.24399999999999997,0.1708,bonus_oriented,1,50,45,original,Lc,3,1
1,9,18,1,7,1.646999999999999,3,4,14,105,98,23,69.11300000000035,0.061,0.061,0.366,20,1,1,3,289,1,1,3,6,0,16,4,5,Lc,0.23914532871972316,0.061,0.061,0.122,bonus_oriented,1,50,45,original,Lc,3,1
1,10,19,1,8,5.855999999999995,14,32,54,73,57,120,84.36300000000162,0.061,17.628999999999987,1.2199999999999993,20,1,11,3,354,1,70,5,2,0,13,3.25,5,Lc,0.23831355932203388,0.061,0.2518428571428571,0.24399999999999997,bonus_oriented,1,50,45,original,Lc,3,1
1,10,20,1,9,11.71199999999999,17,50,68,24,72,40,24.15599999999998,8.661999999999994,9.881999999999993,0.366,20,19,17,1,99,42,44,1,4,0,19,4.75,5,Lc,0.244,0.20623809523809522,0.22459090909090906,0.366,bonus_oriented,1,50,45,original,Lc,3,1
1,11,21,1,7,2.1349999999999985,8,11,13,80,16,73,30.560999999999975,0.366,0.122,2.0739999999999985,20,2,1,9,122,2,1,10,6,0,18,4.5,5,Lc,0.2505,0.183,0.122,0.2074,bonus_oriented,1,50,45,original,Lc,3,1
