Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,agent,model,risk,run
1,16,32,1,5,8.295999999999994,14,38,40,37,73,46,9.271999999999993,0.488,5.489999999999996,5.306999999999996,19,5,12,16,43,6,21,26,5,0.5,33,4.5,6,Lc,0.21562790697674417,0.08133333333333333,0.2614285714285714,0.2041153846153846,baseline,original,Lc,1
1,17,33,1,5,6.282999999999995,7,23,42,38,100,56,6.465999999999995,1.8909999999999987,8.478999999999994,3.842999999999997,9,4,16,14,25,4,40,18,5,0,16,4,6,Lc,0.25864,0.47274999999999984,0.21197499999999997,0.21349999999999997,baseline,original,Lc,1
1,17,34,1,8,9.393999999999993,15,41,109,112,82,78,10.674999999999992,1.8299999999999987,13.602999999999989,0.305,20,5,17,1,52,5,55,1,2,0,10,2.5,6,Lc,0.20528846153846153,0.366,0.2473272727272727,0.305,baseline,original,Lc,1
1,1,1,0,5,4.574999999999997,11,19,39,47,41,46,7.8079999999999945,1.585999999999999,6.953999999999994,3.537999999999997,20,4,15,10,31,6,34,15,5,1,60,5,6,Lc,0.25187096774193546,0.2643333333333333,0.20452941176470588,0.23586666666666667,baseline,original,Lc,2
1,1,2,0,10,10.735999999999992,15,43,34,8,2,4,17.201999999999988,9.576999999999993,19.641999999999985,4.818999999999996,20,18,18,16,67,41,85,23,3,0.5,41,5.75,6,Lc,0.2567462686567164,0.23358536585365852,0.23108235294117646,0.20952173913043476,baseline,original,Lc,2
1,2,3,0,7,8.661999999999994,17,48,22,15,16,21,9.881999999999993,1.7689999999999988,11.284999999999991,1.7689999999999988,20,5,15,6,53,6,44,7,6,1,72,6,6,Lc,0.18645283018867922,0.2948333333333333,0.2564772727272727,0.25271428571428567,baseline,original,Lc,2
1,2,4,0,5,5.550999999999996,10,24,2,97,107,103,38.61299999999997,0.061,0.061,0.427,20,1,1,2,172,1,1,2,5,0.5,18,3,6,Lc,0.2244941860465116,0.061,0.061,0.2135,baseline,original,Lc,2
1,3,5,0,9,5.611999999999996,10,26,70,67,86,71,6.099999999999996,0.7929999999999997,7.8689999999999936,0.183,13,3,15,1,29,3,35,1,4,0.5,27,3.75,6,Lc,0.21034482758620687,0.2643333333333333,0.2248285714285714,0.183,baseline,original,Lc,2
1,3,6,0,7,9.881999999999993,14,43,22,16,14,17,10.552999999999992,2.683999999999998,19.214999999999986,4.086999999999997,17,10,17,10,46,13,68,15,6,1,72,6,6,Lc,0.22941304347826086,0.20646153846153845,0.28257352941176467,0.27246666666666663,baseline,original,Lc,2
1,4,7,0,8,4.940999999999996,8,21,115,120,94,32,5.489999999999997,4.818999999999996,3.2939999999999974,4.879999999999996,12,15,14,13,25,25,22,20,2,0,12,3,6,Lc,0.2196,0.19275999999999996,0.14972727272727274,0.244,baseline,original,Lc,2
1,4,8,0,1,11.650999999999991,16,50,80,74,79,77,13.11499999999999,0.5489999999999999,0.6099999999999999,13.35899999999999,20,3,3,16,58,3,3,50,3,1,36,3,6,Lc,0.2261206896551724,0.183,0.20333333333333334,0.26718,baseline,original,Lc,2
1,5,9,0,5,5.428999999999996,12,29,38,61,14,97,7.563999999999995,132.30900000000784,0.9149999999999996,1.0979999999999994,20,19,3,5,41,549,3,5,5,0,17,4.25,6,Lc,0.18448780487804878,0.241,0.305,0.2196,baseline,original,Lc,2
1,5,10,0,6,5.7949999999999955,10,29,33,56,36,1,28.425999999999977,0.7929999999999997,0.9759999999999995,0.488,20,4,4,4,113,4,5,4,6,0,20,5,6,Lc,0.25155752212389376,0.19824999999999998,0.19519999999999998,0.122,baseline,original,Lc,2
1,6,11,1,5,11.223999999999991,19,54,43,41,45,16,14.883999999999988,1.524999999999999,3.598999999999997,4.208999999999997,20,7,11,13,77,9,19,21,5,0.5,36,5.25,6,Lc,0.19329870129870128,0.16944444444444445,0.18942105263157893,0.2004285714285714,baseline,original,Lc,2
1,6,12,1,1,10.857999999999992,16,63,77,75,80,26,15.43299999999999,1.4029999999999991,3.2329999999999974,0.6099999999999999,20,7,8,2,83,7,9,2,3,0.5,23,3.5,6,Lc,0.18593975903614457,0.20042857142857143,0.35922222222222217,0.30499999999999994,baseline,original,Lc,2
1,7,13,1,8,5.306999999999996,13,27,118,116,113,119,9.454999999999993,1.1589999999999994,4.025999999999997,3.476999999999997,20,2,12,9,46,2,17,12,2,1,24,2,6,Lc,0.20554347826086955,0.5794999999999997,0.23682352941176468,0.28974999999999995,baseline,original,Lc,2
1,7,14,1,7,12.26099999999999,18,66,15,13,17,41,12.62699999999999,21.654999999999983,1.585999999999999,0.6709999999999998,20,18,7,2,68,92,7,2,6,0.5,41,5.75,6,Lc,0.18569117647058822,0.23538043478260867,0.22657142857142853,0.3355,baseline,original,Lc,2
1,8,15,1,8,5.062999999999996,14,27,110,4,114,111,17.201999999999988,0.183,0.305,0.061,20,1,2,1,83,1,2,1,2,0.5,18,3,6,Lc,0.20725301204819277,0.183,0.1525,0.061,baseline,original,Lc,2
1,8,16,1,3,11.89499999999999,12,56,94,30,26,95,17.750999999999987,0.366,2.744999999999998,2.9889999999999977,20,1,9,9,89,1,10,11,5,0,16,4,6,Lc,0.1994494382022472,0.366,0.27449999999999997,0.27172727272727265,baseline,original,Lc,2
1,9,17,1,4,7.9299999999999935,16,38,104,103,102,97,9.759999999999993,3.4159999999999973,5.672999999999996,1.8909999999999987,20,11,12,6,46,17,21,7,2,1,24,2,6,Lc,0.21217391304347824,0.20094117647058823,0.27014285714285713,0.27014285714285713,baseline,original,Lc,2
1,9,18,1,5,10.735999999999992,18,51,46,39,86,37,12.44399999999999,0.7929999999999997,2.1349999999999985,3.537999999999997,20,6,7,8,62,8,11,8,5,0.5,33,4.5,6,Lc,0.20070967741935483,0.09912499999999999,0.19409090909090906,0.4422499999999999,baseline,original,Lc,2
1,10,19,1,2,8.844999999999994,12,33,55,53,95,54,11.467999999999991,0.061,1.7689999999999988,4.879999999999996,16,1,7,12,39,1,9,18,4,0.5,27,3.75,6,Lc,0.294051282051282,0.061,0.19655555555555554,0.2711111111111111,baseline,original,Lc,2
1,10,20,1,6,8.417999999999994,14,41,2,3,11,82,20.129999999999985,3.598999999999997,2.9279999999999977,4.147999999999997,20,12,8,9,83,20,9,15,6,0.5,39,5.25,6,Lc,0.24253012048192768,0.17994999999999997,0.32533333333333325,0.27653333333333324,baseline,original,Lc,2
1,11,21,1,9,6.526999999999995,13,33,68,72,62,103,7.502999999999995,0.6099999999999999,2.9279999999999977,0.7929999999999997,18,2,8,6,38,2,11,7,4,0.5,26,3.5,6,Lc,0.19744736842105262,0.305,0.26618181818181813,0.11328571428571428,baseline,original,Lc,2
1,11,22,1,8,7.807999999999994,17,36,114,89,110,113,11.101999999999991,0.6099999999999999,1.8299999999999987,2.744999999999998,20,3,6,10,50,3,8,11,2,0.5,15,2.25,6,Lc,0.22204,0.2033333333333333,0.22874999999999995,0.24954545454545451,baseline,original,Lc,2
