model,strategy,combo_id,thres_schema,thres_item_final,risk,run,AC,performance,RT
original,bonus_oriented,1,50,45,Hc,4,0.30357142857142855,21.071428571428573,55.44246428571439
original,bonus_oriented,1,50,45,Hc,5,0.5178571428571429,27.46428571428571,55.852035714285854
original,bonus_oriented,1,50,45,Hc,6,0.36666666666666664,20.666666666666668,50.54053333333333
original,bonus_oriented,1,50,45,Hc,7,0.4107142857142858,27.071428571428573,54.233357142857166
original,bonus_oriented,1,50,45,Hc,8,0.5892857142857142,30.571428571428573,54.52528571428601
original,bonus_oriented,1,50,45,Hc,9,0.3928571428571429,29.428571428571427,55.39453571428577
original,bonus_oriented,1,50,45,Hc,10,0.4,22.5,47.970399999999984
original,bonus_oriented,1,50,45,Hc,11,0.44642857142857145,25.821428571428573,54.60807142857167
original,bonus_oriented,1,50,45,Hc,12,0.44642857142857145,29.5,57.494678571429404
original,bonus_oriented,1,50,45,Hc,13,0.40384615384615385,27.307692307692307,63.44469230769266
original,bonus_oriented,1,50,45,Hc,14,0.36666666666666664,21,51.81136666666684
original,bonus_oriented,1,50,45,Hc,15,0.44642857142857145,25.714285714285715,53.15060714285713
original,bonus_oriented,1,50,45,Hc,16,0.35714285714285715,18.035714285714285,55.92828571428576
original,bonus_oriented,1,50,45,Hc,17,0.3076923076923077,19.923076923076923,64.81250000000084
original,bonus_oriented,1,50,45,Hc,18,0.44230769230769224,30.076923076923073,62.78542307692371
original,bonus_oriented,1,50,45,Hc,19,0.2884615384615385,20.46153846153846,62.975461538461886
original,bonus_oriented,1,50,45,Hc,20,0.3928571428571429,22.928571428571427,55.62328571428585
original,bonus_oriented,1,50,45,Hc,21,0.40384615384615385,27.153846153846153,70.39869230769378
original,bonus_oriented,1,50,45,Hc,22,0.3928571428571429,26.821428571428573,56.1221785714287
original,bonus_oriented,1,50,45,Hc,23,0.35714285714285715,22,57.89989285714294
original,bonus_oriented,1,50,45,Hc,24,0.4821428571428571,27.035714285714285,58.29203571428585
original,bonus_oriented,1,50,45,Hc,25,0.4821428571428571,27.928571428571427,54.24425000000019
original,bonus_oriented,1,50,45,Hc,26,0.5178571428571429,28.857142857142854,52.743214285714316
original,bonus_oriented,1,50,45,Hc,27,0.44642857142857145,27.607142857142854,53.46650000000019
original,bonus_oriented,1,50,45,Hc,28,0.375,22.142857142857142,55.455535714286206
original,bonus_oriented,1,50,45,Hc,29,0.35714285714285715,21.642857142857142,59.607892857143085
original,bonus_oriented,1,50,45,Hc,30,0.5,30.821428571428573,52.70617857142854
original,bonus_oriented,1,50,45,Hc,31,0.3571428571428571,27.53571428571429,58.47939285714338
original,bonus_oriented,1,50,45,Hc,32,0.4821428571428571,27.964285714285715,53.84557142857168
original,bonus_oriented,1,50,45,Hc,33,0.44642857142857145,25.535714285714285,51.76285714285717
original,bonus_oriented,1,50,45,Hc,34,0.4833333333333333,31.5,48.27336666666675
original,bonus_oriented,1,50,45,Hc,35,0.5178571428571429,29.21428571428571,52.26392857142853
original,bonus_oriented,1,50,45,Hc,36,0.30357142857142855,17.25,54.19850000000023
original,bonus_oriented,1,50,45,Hc,37,0.25,21.071428571428573,58.65367857142895
original,bonus_oriented,1,50,45,Hc,38,0.30357142857142855,20.78571428571429,57.91296428571445
original,bonus_oriented,1,50,45,Hc,39,0.3571428571428571,27.714285714285715,55.344428571428836
original,bonus_oriented,1,50,45,Hc,40,0.4666666666666666,27.166666666666664,49.10906666666694
original,bonus_oriented,1,50,45,Hc,41,0.3571428571428571,23.392857142857146,59.058892857143555
original,bonus_oriented,1,50,45,Hc,42,0.5178571428571429,29.107142857142854,56.5731428571429
original,bonus_oriented,1,50,45,Hc,43,0.5,21.928571428571427,56.59274999999996
original,bonus_oriented,1,50,45,Hc,44,0.35714285714285715,22.464285714285715,54.612428571428765
original,bonus_oriented,1,50,45,Hc,45,0.6666666666666667,36.4,53.45633333333394
original,bonus_oriented,1,50,45,Hc,46,0.375,24.535714285714285,55.821535714285716
original,bonus_oriented,1,50,45,Hc,47,0.33928571428571425,26.035714285714285,62.45092857142902
original,bonus_oriented,1,50,45,Hc,48,0.25,18.576923076923077,63.803653846154305
original,bonus_oriented,1,50,45,Hc,49,0.6785714285714286,38.42857142857143,51.46657142857139
original,bonus_oriented,1,50,45,Hc,50,0.3499999999999999,24.333333333333336,51.35793333333329
original,bonus_oriented,1,50,45,Lc,1,0.3571428571428571,28.321428571428573,56.13960714285747
original,bonus_oriented,1,50,45,Lc,2,0.4464285714285714,34.57142857142857,58.899857142857876
